,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30
Fiona.jpg,-0.030636728,-0.04529915,-0.04350007,0.015051587,0.03993238,-0.078441605,0.094138816,0.027033865,-0.12477377,0.035046663,0.034587193,-0.037707664,-0.217134,-0.034490637,-0.0049327407,-0.039991505,-0.028234413,0.005311379,-0.14311166,0.12637702,-0.08423555,0.036320567,-0.1304906,0.0246978,0.06313322,0.0005629931,-0.10120199,0.029986352,0.006638111,-0.05150456
Fire.jpg,-0.1185874,0.065705284,0.024814723,-0.088632666,-0.0024705043,0.10273014,0.2375071,0.09381387,0.05860443,0.06654527,0.06864722,-0.05793846,-0.117580034,-0.029886257,-0.097233884,0.10391671,0.24506482,0.13422039,-0.04356686,-0.107808195,-0.04783833,0.03844429,-0.047870785,0.08749308,-0.18349418,-0.13566934,0.24736021,-0.058375333,-0.06614222,0.055520866
Fire1.jpg,-0.15129995,-0.0039576925,-0.013219316,-0.02002349,0.02029157,0.06578247,0.15881144,0.038590178,-0.02206166,0.0570049,0.04115114,-0.019322706,-0.059138704,-0.011982824,0.021473842,0.014638354,0.08019904,0.088321395,-0.07273561,-0.037739065,-0.029021034,0.0437903,-0.030738583,0.06798108,-0.10220406,-0.054684173,0.11630545,-0.004614221,-0.03223169,0.04068594
Hao.jpg,-0.04733244,-0.07141403,-0.050796818,0.052952595,0.045556817,-0.105788216,0.08390477,0.037969444,-0.12116819,0.071019955,-0.0046513025,0.026992366,-0.17851408,0.01982551,0.073402256,-0.0058067767,-0.07102615,0.026115816,-0.12769684,0.0720278,-0.050745092,0.092185624,-0.11808527,0.042729072,0.05713351,-0.03951594,-0.095654756,-0.03014331,0.070282415,-0.02065652
IMG_1568.jpg,-0.12163984,-0.05633763,-0.038037922,0.047081515,-0.052200556,0.0012481913,-0.10708007,-0.07849092,0.05789616,0.012386841,0.07657324,-0.006241316,0.12521213,0.045191597,-0.031469453,-0.025188299,-0.08782303,0.034343094,-0.021481056,0.015290685,-0.06182354,0.043346785,-0.010775979,0.012031683,-0.013799079,0.0978928,0.018156473,-0.02600359,-0.08078586,0.009823554
IMG_1682.jpg,-0.12137515,-0.075591415,-0.043890286,-0.049522694,0.0042949924,0.06586915,-0.039674178,-0.031721577,0.007924458,0.05246197,0.006868666,0.0076741334,0.08151862,0.04550496,-0.0668664,-0.027550185,-0.04028686,-0.0031755345,-0.015307808,-0.041145116,0.00637086,0.03181228,0.026796836,0.035129882,0.032081686,0.052826595,0.004661616,-0.0148669435,-0.07071034,0.029007997
IMG_1864.jpg,0.106231436,0.19424254,0.07458146,0.10664831,-0.059388176,-0.14069939,-0.1733416,-0.15010044,-0.10622019,-0.088362455,-0.013291847,-0.0076070055,-0.06656974,-0.06848009,0.2450313,-0.057415776,0.03394142,-0.15415695,0.13684544,0.1732709,-0.083717324,-0.07475542,0.05432272,-0.15271619,-0.017668217,-0.11397314,-0.046016373,-0.09638137,-0.01638072,-0.1503033
IMG_2049.jpg,-0.038383923,-0.0813612,-0.008418301,0.05588516,0.022858744,-0.076757945,-0.108296596,-0.075570665,0.060867853,0.028212313,0.022208314,-0.09024079,0.111769766,-0.04401033,0.03877587,-0.07213762,0.0093328105,-0.0010608302,-0.03577349,0.07881028,-0.075112104,-0.012080766,0.0824184,-0.05488402,0.021477425,-0.034340203,0.04512415,-0.05328454,-0.0009961338,-0.0012201316
IMG_2067.jpg,0.17365056,-0.006627353,0.045869112,0.03913774,0.13157044,-0.055385936,-0.42790934,-0.29376918,-0.048614692,0.064905934,0.22871862,-0.15062268,-0.16199319,-0.093653485,0.24060676,0.2885555,-0.40635446,0.224474,0.00273043,0.3581935,0.03238274,-0.121241435,-0.04294625,-0.23357166,0.1230831,-0.14677763,0.5974903,0.13135836,0.1803098,0.0011099682
IMG_2282.jpg,0.19627255,-0.15705842,0.014238519,-0.38157898,0.04080426,0.0923413,-0.34504926,0.65385354,0.3710263,0.055858985,1.1009171,0.47484776,-0.4223028,0.25099525,-0.095898464,0.032119878,0.09496925,-0.10134631,0.03964741,0.08158402,0.107058845,-0.20648918,0.14585021,0.14050025,-0.0061940667,-0.09617665,-0.14411773,0.05063479,0.038327966,0.049559783
IMG_2289.jpg,-0.02871593,0.044373494,0.13701898,0.18834636,-0.031245451,-0.060040243,-0.11779192,-0.0025636065,0.054399326,0.020255763,0.08784962,-0.109510005,0.08417997,-0.02747418,-0.033891827,0.060919996,0.04281334,0.024287188,-0.045706123,0.07971974,-0.041276995,0.018402811,-0.031676292,-0.03666038,0.08784714,-0.023417532,0.025351172,0.0033050808,0.011348933,0.0851313
IMG_2299.jpg,-0.08733487,0.009227431,0.012653675,-0.033238024,-0.02730302,-0.0150456065,-0.08452739,-0.06426626,0.09996804,-0.0006269263,-0.013130751,0.012039911,0.015370366,0.02689047,0.083691984,0.005450187,-0.0010250564,0.089211054,-0.029558955,0.030537566,-0.059015308,0.006185053,0.0196333,-0.07484496,0.04433533,0.011205655,-0.020836588,-0.016420018,-0.03169647,0.01331462
